model,best_cv_score,test_f1_weighted,test_precision_weighted,test_recall_weighted,test_accuracy,mean_ms,p95_ms,p99_ms,implied_max_fps
xgboost,0.9014,0.9512,0.9537,0.9508,0.9508,0.9836,1.8215,2.7056,1016.7
logistic_regression,0.8891,0.9476,0.9501,0.9481,0.9481,0.1209,0.2281,0.4097,8269.8
knn,0.8995,0.9395,0.9425,0.9396,0.9396,0.8727,1.2862,2.2887,1145.9
svc,0.9131,0.9217,0.9328,0.9217,0.9217,0.5168,0.7404,0.9467,1935.0
