source_id,label,original_label,frame_number,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,stance_width_normalized,wrist_span_normalized,torso_incline_angle,leg_incline_angle,left_arm_elevation,right_arm_elevation,left_hip_line_deviation,right_hip_line_deviation
plank_test,plank,C,27,100.5339093,115.5316065,174.8562758,175.307732,151.7106631,157.7617115,0.202199352,0.962573101,87.80421707,69.11200137,3.844625671,4.128500477,1.138160318,0.834782329
plank_test,plank,C,28,100.3172551,115.332485,175.1500655,175.8514935,151.9379479,157.7460147,0.192709131,0.980917876,87.8193999,69.01149822,3.94442379,4.199821093,1.163247107,0.869928672
plank_test,plank,C,29,101.809181,115.4215402,175.5124674,176.6146872,152.829019,158.1316361,0.206558098,1.043414369,88.28279902,68.9233469,4.167044052,4.345685725,1.182911048,0.909059784
plank_test,plank,C,30,104.1759091,115.8975942,174.5196851,175.6179573,152.742015,157.8858446,0.2254211,1.09788583,88.31888971,69.21986156,4.234107109,4.346731047,1.176271033,0.907183096
plank_test,plank,C,31,104.5793244,115.789887,173.9431231,175.4147201,152.6764909,157.6902844,0.237789438,1.117918159,88.3455642,69.25771375,4.350867246,4.437847296,1.191748396,0.930704548
plank_test,plank,C,32,105.227,116.3876194,173.215832,174.8336756,152.6256141,157.1631682,0.247259895,1.105086294,88.40428414,69.22145316,4.395779756,4.495007655,1.180550078,0.941335295
plank_test,plank,C,33,105.6737328,117.0031382,172.8448923,174.262642,152.3870231,156.5417027,0.252986027,1.108560989,88.28714305,69.12844862,4.391667224,4.500798816,1.17734279,0.949254705
plank_test,plank,C,34,106.2302542,116.6027952,172.0926095,173.5061762,151.0176858,155.0621001,0.251799414,1.1221693,87.70674065,68.62571663,4.40177296,4.503632952,1.225443683,0.99400539
plank_test,plank,C,35,104.6345506,115.8158461,171.0757803,172.8190094,150.1562401,154.7271002,0.253951963,1.015948799,87.28515405,68.83071726,4.140993216,4.343161134,1.193785589,0.951731364
plank_test,plank,C,36,105.1313942,116.5986015,168.5294279,170.3611146,146.9993602,150.4344345,0.269955751,0.962653996,85.22401182,68.39324637,4.436171988,4.769108481,1.378053209,1.174961363
plank_test,plank,C,37,104.9358754,116.9512283,168.369235,170.3069852,146.5155497,150.2056676,0.268660777,0.95308917,85.07839939,68.23043007,4.500362177,4.845240285,1.41660229,1.200913073
plank_test,plank,C,38,105.3161193,117.6455568,167.6863248,170.1846251,145.1771347,149.4288873,0.296782014,1.017401855,84.75420422,67.67692489,5.130921059,5.446908356,1.64559472,1.382066806
plank_test,plank,C,39,105.1172733,117.7592906,168.0129128,170.4098388,144.6842748,149.0618772,0.308796874,1.019339663,84.5036182,67.36117621,5.207106287,5.508425614,1.707360834,1.426374043
plank_test,plank,L,40,103.1696417,111.2337437,155.3958156,156.4527554,169.6409973,168.5267671,0.836844007,1.390304156,65.48432621,88.3589233,10.19607293,9.905373817,2.614766555,2.446144653
plank_test,plank,L,41,96.57799858,108.6907785,150.4503377,146.2454437,162.9194557,166.7164316,1.162273604,1.613874172,61.18914984,87.91839927,11.43196287,11.09365822,4.322098314,3.748911265
plank_test,plank,L,42,96.03303084,107.9228996,150.3669444,147.4297861,162.7036593,164.839523,1.235267671,1.763234943,61.06837326,87.25953971,12.02075858,11.45349614,4.591690739,4.125890549
plank_test,plank,L,43,95.66817936,108.1777626,150.3681533,147.9096584,162.7894122,164.4128836,1.378643608,1.887228297,61.03787231,87.12418139,12.76307196,12.06075628,4.881613143,4.4063863
plank_test,plank,L,44,95.64919576,107.75184,151.0555684,149.6124069,161.7935642,162.0385523,1.347713167,1.914242145,60.28497726,86.69845051,12.86231026,12.10135028,5.012287597,4.6629473
plank_test,plank,L,45,99.09593871,109.8310794,151.7548566,150.3278038,161.4477087,161.5792465,1.288566963,1.835601435,59.83336182,87.00956804,12.67454604,12.1426213,4.936764955,4.599874432
plank_test,plank,L,46,100.4350997,110.6275108,152.8954202,151.587436,160.9426012,162.1395098,1.232032833,1.764482737,59.97289461,87.51021469,12.94388263,12.32311185,4.972830884,4.47449062
plank_test,plank,L,47,102.0423422,111.714678,154.0266563,152.9170813,160.3201942,162.1570973,1.212767254,1.718858543,59.83773542,87.98006684,13.05926778,12.23617212,4.938150895,4.343331234
plank_test,plank,L,48,103.4581048,113.5489314,154.1651398,153.2156649,160.1622122,161.9451646,1.261542064,1.702729668,59.67695116,88.02431847,13.39679228,12.51036722,5.06666534,4.440767351
plank_test,plank,L,49,103.301854,112.7494826,154.1177631,152.8127715,160.5157525,162.368567,1.577661624,1.876407298,59.75884141,88.30762482,13.43338858,12.53024119,5.020010893,4.360621155
plank_test,plank,L,50,101.4612685,111.8639933,154.5238376,152.8199512,160.5771923,162.3690027,1.624002736,1.996405739,59.65102909,88.60206242,13.56312731,12.76758514,5.050998413,4.418136603
plank_test,plank,L,51,98.46490607,111.5845174,154.8277447,152.3030058,160.9360921,162.9555521,1.726365465,2.011252754,59.90117165,88.89781566,14.20433911,13.71515449,5.248983581,4.621112317
plank_test,plank,L,52,94.41176078,112.0021504,155.284837,152.1511993,161.4340219,163.2363844,1.551005661,1.932973788,60.03713689,89.28009361,12.79944167,12.81695075,4.69557194,4.22284679
plank_test,plank,L,53,93.56882083,111.0256561,155.2016113,152.4464893,161.7268115,163.2061095,1.500073522,1.904102778,60.16357535,89.31677203,12.43573344,12.52750676,4.556292944,4.11651395
plank_test,plank,L,54,93.14377439,111.226315,155.2480522,154.0627921,161.8288429,162.6674946,1.200770923,1.718118704,60.25752954,89.3402201,11.17430218,11.39599445,4.111215473,3.72725523
plank_test,plank,L,55,93.37264765,112.8185426,155.305643,154.839153,161.8742684,162.3940671,1.080114505,1.560851798,60.22271396,89.38761524,10.83137706,11.0832963,3.98970382,3.619796487
plank_test,plank,L,56,93.34254409,113.0866239,155.511677,154.9324473,162.1552562,163.0294801,1.097855862,1.533140406,60.42058166,89.70098819,10.80481124,11.08695283,3.941434925,3.534314648
plank_test,plank,L,57,94.12937478,111.6400304,155.6082018,154.8276871,162.521793,163.769617,1.199448914,1.490578488,60.63582772,89.95063916,11.25180383,11.51864285,4.054260372,3.599787135
plank_test,plank,L,58,94.67987605,112.4560265,155.4758484,154.6705684,162.5963423,164.0093199,1.315074067,1.618486848,60.69860679,89.91892873,11.68195559,11.85725988,4.206090771,3.698346336
plank_test,plank,L,59,95.28696289,113.1232759,155.6492537,154.3554197,162.3376842,163.9800948,1.431842544,1.755578281,60.73344403,89.72852955,11.78651384,11.86473513,4.261600241,3.734653519
plank_test,plank,L,60,94.95509049,112.609151,156.2069263,155.0455298,162.1625979,163.5929668,1.33836811,1.662676451,60.85866146,89.65440242,11.15463792,11.30343416,4.044812161,3.572375233
plank_test,plank,L,61,94.55246283,112.2883475,156.7522189,155.6150472,161.5808403,162.8748642,1.212295798,1.535070518,60.78020268,89.34800089,10.78990322,10.98668077,3.978901145,3.558184717
plank_test,plank,L,62,94.42004211,112.5186535,156.7567384,155.7278733,161.3418825,162.5625125,1.236668238,1.534157568,60.69370339,89.18945518,10.99777981,11.17529565,4.084776765,3.66320789
plank_test,plank,L,63,94.23398881,113.035673,156.7062672,155.7011307,161.3287884,162.413065,1.22094022,1.476435759,60.65135055,89.08463808,10.93556086,11.16254563,4.083587394,3.687149836
plank_test,plank,L,64,94.15324416,114.1092197,156.8495561,155.666869,161.2371527,162.5872301,1.29689415,1.511712864,60.71406641,89.08307274,11.50571433,11.70545602,4.291826109,3.85552775
