label,neck_tilt_angle,torso_hip_angle,hip_knee_angle,hip_shoulder_vertical_ratio,plumb_line_alignment
C,88.01618111321805,154.28431191495622,157.03033322828054,0.014749964660874562,0.747950322318445
C,88.09568010333182,154.13216602890182,157.06951275299977,0.014609711842709316,0.7503886418434358
C,88.1378222349361,154.12548361620466,157.0636752343362,0.014551000933962782,0.7506430945696919
C,88.17067029930281,154.00884930851495,157.0645838709476,0.014455178501778522,0.7528403125509687
C,88.20810384633961,153.92298583266023,157.10822293138702,0.014384711654514515,0.7538226683650397
C,82.53160195191163,167.9914741009015,172.57958889360813,0.13698669596606633,0.08957103553927986
C,82.50937509445988,168.13324513220337,172.6369650293298,0.1376443982620158,0.0888555982277963
C,82.44475437245991,168.1275015038956,172.62782229011972,0.13803565496027434,0.0890906725890055
C,82.3941926415754,168.1910007525395,172.54930859723962,0.13826856879924618,0.08927955580992228
C,102.35938446669651,153.64042198353891,166.29311533732843,0.03194848574296399,0.6005379733184554
C,102.1269444059515,153.6257137895288,166.24874598690184,0.031497441387170234,0.6022136659904187
C,101.8273128919075,153.55172121405747,166.2107187816775,0.03116826731296213,0.6051189607056732
C,101.51686563761815,153.4559348359543,166.2097658641692,0.030955259949281642,0.6074917558059397
C,101.2309632185893,153.38212295213694,166.20718862520954,0.03061870889080512,0.6094182827637977
C,101.02790555073159,153.39284654630478,166.20143112645286,0.030043947080579853,0.6102657959553736
C,87.36160719605066,151.5248986164236,161.15180948851722,0.08864576344102047,0.5816058693379793
C,87.41910891198887,151.54389609329917,161.2199322086637,0.0885188343416912,0.5812298890324324
C,87.41586833553008,151.5490293673631,161.2210030648609,0.08853494160191677,0.581140770736789
C,87.41537154756433,151.5619909418184,161.22098250421817,0.08850367091601735,0.5808500583665681
C,87.41400843264493,151.5743317522744,161.2257412839514,0.08845423722570547,0.5805346319476183
C,106.66951722432852,163.6753184843331,165.93765411742893,0.11650030077649426,0.27042707654442466
